s_no,budget_head,name_of_sub_scheme_,ftr_hq,shq,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,acceptance_date,award_date,time_allowed_days,pdc_agreement,pdc_revised,firm_name,physical_progress,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,remarks
65,OB(BS),Ren of NRB,Rajasthan,JSMR(S),Renovation/Upgradation of MI Room at Bn HQ BSF Campus Dabla-I of 18 Bn (Now 108 Bn) under SHQ JSMR(S),Dept,FHQ O/No. 4537-46 dtd 09.05.2024 ,25.84,11.06.2024,08.09.2024,08.11.2024,23.11.2024,,29.07.2026,,,40 %,0,3.37,₹ 3.37,13.04 %,Work in progress 
66,OB(BS),Ren of NRB,Rajasthan,JSMR(S),Renovation/Upgradation of SO's Mess at Bn HQ BSF Campus Dabla-I of 18 Bn (Now 108 Bn) under SHQ JSMR(S),Dept,FHQ O/No. 5681-88 dtd 30.05.2024,28.84,08.11.24,,,*,,,,,25 %,0,8,₹ 8.00,27.74 %,Work in progress 
67,OB(BS),Ren of NRB,Rajasthan,JSMR(S),Renovation/Upgradation of Quarter Guard at Bn HQ BSF Campus Dabla-I of 56 Bn (Now 154 Bn) under SHQ JSMR(S),Dept,FHQ O/No. 6232-41 dtd 30.05.2024,36.24,08.11.24,*,*,26.05.2025,,02.02.2026,,,45 %,0,0,₹ 0.00,0.00 %,Work in progress 
68,OB(BS),Ren of NRB,Rajasthan,JSMR(S),Renovation/Upgradation of SO's Mess at Bn HQ BSF Campus Dabla-I of 56 Bn (Now 154 Bn) under SHQ JSMR(S),Dept,FHQ O/No. 6224-31 dtd 30.05.2024 ,28.84,*,*,*,26.05.2025,,02.02.2026,,,45 %,0,0,₹ 0.00,0.00 %,Work in progress 
69,OB(BS),Ren of NRB,Rajasthan,JSMR(S),Renovation/Upgradation of MI Room at Bn HQ BSF Campus Dabla-I of 56 Bn (Now 154 Bn) under SHQ JSMR(S),Dept,FHQ O/No. 6242-49 dtd 30.05.2024 ,27.37,*,*,*,26.05.2025,,02.02.2026,,,70 %,0,0,₹ 0.00,0.00 %,Work in progress 
70,OB(BS),Ren of NRB,Rajasthan,FTR RAJ,Renovation/Upgradation of Guard Room 03 Nos. under Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6645-52 dtd 31.05.2024,18.61,12.07.2024,23.08.24,18.09.24,18.09.24,,29.05.2025,,,80 %,0,12.7,₹ 12.70,68.24 %,Work in progress 
71,OB(BS),Ren of NRB,Rajasthan,FTR RAJ,Renovation/Upgradation of Quarter Guard under Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6653-58 dtd 31.05.2024 ,27.47,22.07.2024,05.08.24,09.09.24,17.09.24,,21.05.2025,,,95 %,12.32,5.86,₹ 18.18,66.18 %,Work in progress 
72,OB(BS),Ren of NRB,Rajasthan,FTR RAJ,Renovation/Upgradation of SO's Mess 8 Suit (More than 20 years) at Ftr location under Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6659-65 dtd 31.05.2024 ,33.89,12.07.2024,16.08.24,04.09.24,12.09.24,,21.05.2025,,,40 %,0,0,₹ 0.00,0.00 %,Work in progress 
73,OB(BS),Ren of NRB,Rajasthan,FTR RAJ,Renovation/Upgradation of provisioning complex (more than 20 years) at Ftr location under Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6405-11 dtd 31.05.2024 ,33.34,29.08.24,30.08.24,18.09.24,18.09.24,,29.05.2025,,,70 %,0,10.15,₹ 10.15,30.44 %,Work in progress 
74,OB(BS),Ren of NRB,Rajasthan,FTR RAJ,Renovation/Upgradation of 'A' Block Jawan Barrack at  Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6412-18 dtd 31.05.2024 ,80.82,01.07.24,09.08.24,04.09.24,18.09.24,,14.7.2025,,,45 %,15.42,0,₹ 15.42,19.08 %,Work in progress 
75,OB(BS),Ren of NRB,Rajasthan,FTR RAJ,Renovation/Upgradation of 'B' Block Jawan Barrack at  Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 4530-36 dtd 09.05.2024 ,65.72,04.06.2024,08.08.24,09.09.24,17.09.24,,17.09.25,,,40 %,0,7.85,₹ 7.85,11.94 %,Work in progress 
76,OB(BS),Ren of NRB,Rajasthan,FTR RAJ,Renovation/Upgradation of 'C' Block Jawan Barrack at  Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 4547-54 dtd 09.05.2024,80.12,31.05.2024,06.08.24,30.08.24,09.09.24,,09.07.25,,,40 %,18.49,2.2,₹ 20.69,25.82 %,Work in progress 
77,OB(BS),Ren of NRB,Rajasthan,FTR RAJ,Renovation/Upgradation of 'D' Block Jawan Barrack at  Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6419-25 dtd 31.05.2024,65.26,30.07.24,05.08.24,30.08.24,09.09.24,,08.09.25,,,40 %,0,18.8,₹ 18.80,28.81 %,Work in progress 
78,OB(BS),Ren of NRB,Rajasthan,FTR RAJ,Renovation/Upgradation of Adm Block at  Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6666-72 dtd 31.05.2024,68.93,06.08.24,08.08.24,09.09.24,17.09.24,,17.09.2025,,,35 %,4.94,15.85,₹ 20.79,30.16 %,Work in progress 
1,OB(BS),Ren of NRB,Gujarat,FTR GUJ,Improvement of 06 Nos 20 men Jawan Barrack at FTR HQ BSF Gujarat ,Dept,FHQ O/ No. 123/d-III/ OB-reno/26(351) /2024/ engg/ BSF/3095 - 3102 dtd 23/04/2024 ,39.33,23.07.24,12.12.24,06.03.25,09.04.2025,,,,,35 %,₹ 0.00,₹ 7.80,₹ 7.80,19.83 %,work in progress 
2,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of electric sub-station at BN HQ  Campus -IV of 142 BN (Now 76 BN) under SHQ BSF Barmer.,Dept,MHANO. 112/D-III/OB -RENO/ 26(363)/ 2024-ENGG/ BSF/ 2523-31 DTD 18/04/2024 ,10.09,01.09.24,21.10.24,,26.11.2024,,07.06.25,,,100 %,₹ 0.00,₹ 6.05,₹ 6.05,59.99 %,work completed
3,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of MI room building at BN HQ of 142 BN Jalipa Camp (Now 76 BN) under SHQ BSF Barmer.,Dept,MHA/No. 123/d-III/ OB-reno/26(355)/2024/ engg/ BSF/3225-31 dtd 23-04-2024 ,22.96,23.08.24,23.08.24,,18.11.2024,,20.05.25,,,100 %,₹ 0.00,₹ 6.09,₹ 6.09,26.52 %,work in progress 
4,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of Magazine building Q/guard  at BN HQ Campus-III of 13 BN BSF  under SHQ BSF Barmer.,Dept,MHA/No. 123/d-III/ OB-reno/26(352)/2024/ engg/ BSF/3102-08 dtd 23/04/2024 ,20.86,23.08.24,23.08.24,,18.11.2024,,20.05.25,,,40 %,₹ 0.00,₹ 5.48,₹ 5.48,26.27 %,work in progress 
5,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of MI room building of 13 BN BSF (BN HQ Magra)  under SHQ BSF Barmer.,Dept,MHA/ NO. 112/D-III/OB-RENO/26(354)/2024/ENGG/ BSF/ 2576-84DTD 18/04/2024,25.53,23.08.24,23.08.24,,18.11.2024,,20.05.25,,,25 %,₹ 0.00,₹ 1.07,₹ 1.07,4.19 %,work in progress 
6,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of Garrage at BN HQ Campus-III of 13 BN BSF  under SHQ BSF Barmer.,Dept,MHA/ NO. 112/D-III/OB-RENO/26(356)/2024/ENGG/ BSF/ 2585-93 DTD 18/04/2024,19.27,01.09.24,14.10.24,,26.11.2024,,07.06.25,,,100 %,₹ 0.00,₹ 14.52,₹ 14.52,75.34 %,work in progress 
7,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of ADM block at BN HQ Campus-III of 13 BN BSF  under SHQ BSF Barmer.,Dept,MHA/No. 123/d-III/ OB-reno/26(353)/2024/ engg/ BSF/3109-16 dtd 23/04/2024 ,24.83,23.08.24,23.08.24,,18.11.2024,,20.05.25,,,40 %,₹ 0.00,₹ 6.92,₹ 6.92,27.86 %,work in progress 
8,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of New MT garage at BN HQ Campus-I of 115 BN BSF (Now 83 BN) under SHQ BSF Barmer.,Dept,MHA / No. 123/d-III/ OB-reno/26(359)/2024/ engg/ BSF/3117-24dtd 23/04/2024 ,25.88,01.10.24,14.10.24,,26.11.2024,,07.06.25,,,100 %,₹ 0.00,₹ 19.20,₹ 19.20,74.20 %,work in progress 
9,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of MI room at BSF Campus-I of 115 BN BSF (Now 83 BN) under SHQ BSF Barmer.,Dept,MHA/No. 123/d-III/ OB-reno/26(366)/2024/ engg/ BSF/2444-52 dtd 18/04/2024 ,25.67,19.08.24,23.08.24,,18.11.2024,,20.05.25,,,50 %,0,₹ 5.90,₹ 5.90,22.98 %,work in progress 
10,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of trade man shop (Now signal centre) at BN HQ Campus-I of 115 BN BSF (Now 83 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB-RENO/26(360)/2024-ENGG/BSF/ 2558-66 DTD 18/04/2024,12.28,18.08.24,23.08.24,,18.11.2024,,20.05.25,,,25 %,₹ 0.00,₹ 0.60,₹ 0.60,4.89 %,work in progress 
11,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of signal center (Now DC(G) office) at BN HQ BSF Campus-I of 115 BN BSF (Now 83 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB-RENO/26(362)/2024-ENGG/BSF/ 2567-75 DTD 18/04/2024,9.89,16.08.24,23.08.24,,18.11.2024,,,,,40 %,₹ 0.00,₹ 1.75,₹ 1.75,17.69 %,work in progress 
12,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of 120 men jawan barrack  at BN HQ Campus-II of 50 BN BSF (Now 28 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB-RENO/26(364)/2024-ENGG/BSF/ 2514-22DTD 18/04/2024,192.74,,09.04.25,,8/25/25,,,,,5 %,₹ 0.00,₹ 1.87,₹ 1.87,0.97 %,work awarded on 25.08.25
13,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of MT/barrack store at BN HQ Campus-II of SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB-RENO/26(358) 2024/ENGG/BSF/ 2541-48 DTD 18/04/2024,25.77,18.08.24,23.08.24,,26.11.24,,20.05.25,,,40 %,₹ 0.00,₹ 1.33,₹ 1.33,5.16 %,work in progress 
14,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of MI room at BN HQ Campus-II of 50 BN BSF (Now 28 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB-RENO/26(367) 2024/ENGG/BSF/ 2463-61 DTD 18/04/2024,25.59,22.08.24,23.08.24,,18.11.2024,,20.05.25,,,55 %,₹ 0.00,₹ 5.58,₹ 5.58,21.81 %,work in progress 
15,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of SO'S mess at BN HQ Campus-II of 50 BN BSF (Now 28 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB RENO/26(365)/2024-ENGG/BSF/2505-13 DTD 18/04/2024,43.39,27.09.24,14.10.24,,26.11.2024,,07.06.25,,,20 %,₹ 0.00,₹ 1.12,₹ 1.12,2.58 %,work in progress 
16,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of Quarter Guard at BN HQ Campus-II of 50 BN BSF (Now 28 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB RENO/26(357)/2024-ENGG/BSF/2549-57DTD 18/04/2024,31.02,19.08.24,23.08.24,,18.11.2024,,20.05.25,,,60 %,₹ 0.00,₹ 12.17,₹ 12.17,39.23 %,work in progress 
17,OB(BS),Ren of NRB,Gujarat,BMR,Renovation and up-gradation of electric sub-station at BN HQ Campus-II of 50 BN BSF (Now 28 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB RENO/26(361)/2024-ENGG/BSF2532-40 DTD 18/04/2024,9.67,22.08.24,23.08.24,,18.11.2024,,20.05.25,,,100 %,₹ 0.00,₹ 3.30,₹ 3.30,34.12 %,work in progress 
18,OB(BS),Ren of NRB,Gujarat,BHUJ,Renovation/ Up-Gradation of Adm Block of 108 bn (Now 18 Bn)BSF campus -I under SHQ BSF Bhuj,Dept,MHA/No. 123/d-III/ OB-reno/26(346)/2024/ engg/ BSF/3057-64dtd 23/04/2024 ,36.75,1443-47 DTD 24-06-2024,21.08.24,,11.12.24,,26.04.2025,,,62 %,₹ 0.00,₹ 20.16,₹ 20.16,54.86 %,work in progress 
19,OB(BS),Ren of NRB,Gujarat,BHUJ,Renovation/ Up-Gradation of Quarter guard Building  of 108 bn HQ (Now 03Bn)BSF under SHQ BSF Bhuj,Dept,MHA/No. 123/d-III/ OB-ENO/26(347)/2024/ engg/ BSF/3062-72 dtd 23/04/2024 ,33.40,1438-42 DTD 25-06-2024,13.09.24,,12/20/24,,18.06.25,,,100 %,₹ 0.00,₹ 12.37,₹ 12.37,37.03 %,work in progress 
20,OB(BS),Ren of NRB,Gujarat,BHUJ,Renovation/ Up-Gradation of Quarter master  building  of 108 bn (Now 18 Bn)BSF campus -I under SHQ BSF Bhuj,Dept,MHA/No. 123/d-III/ OB-reno/26(348)/2024/ engg/ BSF/3073-80 dtd 23/04/2024 ,34.18,1448-52 DTD 25-08-2024,21.08.24,14.10.24,12.11.2024,,27.04.2025,,,95 %,₹ 0.00,₹ 22.66,₹ 22.66,66.30 %,work in progress
21,OB(BS),Ren of NRB,Gujarat,BHUJ,Renovation/ Up-Gradation of MT Garrage building   of 105 bn (Now 18 Bn)BSF campus -I under SHQ BSF Bhuj,Dept,MHA/ No. 123/d-III/ OB-reno/26(349)/2024/ engg/ BSF/3081-88 dtd 23/04/2024 ,10.24,,,,,,,,,,,,₹ 0.00,0.00 %,case for revised sanction has been submitted to FHQ by  HQ SDG (WC)  through e-office on 16.06.25.Some observation raised by  FHQ and same is under rectification at SHQ.
22,OB(BS),Ren of NRB,Gujarat,BHUJ,Renovation / Up gradation of 120 Men Jawan Barrack under occupation of 150 Bn (Now 74 Bn) Gandhidham under SHQ BSF Bhuj,Dept,MHA/No. 123/d-III/ OB-reno/26(350)/2024/ engg/ BSF/3233-41...dtd 23/04/2024 ,52.97, 1715-18 DTD 24-07-2024,21.08.24,,20.12.24,,18.06.25,,,75 %,₹ 0.00,₹ 35.24,₹ 35.24,66.53 %,Work in progress
23,OB(BS),Ren of NRB,Gujarat,GNR,Renovation  / Up gradation So's mess at BSF campus Gandhiangar held in charge of 63 Bn BSF (Now 194 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ NO. 123/D--III/ OB-RENO/26(337) / 2024- ENGG-BSF/ 3018-26 DTD 22/04/2024,23.50,*,17.11.24,16.05.25,29.05.25,,25.11.25,,,5 %,₹ 0.00,₹ 0.00,₹ 0.00,0.00 %,Final action notice issued to firm by CTA on 19.08.2025 for forefit of PG.
24,OB(BS),Ren of NRB,Gujarat,GNR,Renovation / Up gradation So's mess at BSF campus Deantiwada held in charge of 109 Bn BSF (Now 123 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ NO. 123/D--III/ OB-RENO/26(338) / 2024- ENGG-BSF/ 3009-3018 DTD 22/04/2024,23.50,*,26.11.24,*,11.03.25,,03.09.25,,,55 %,₹ 0.00,₹ 11.68,₹ 11.68,49.71 %,Work in progress.
25,OB(BS),Ren of NRB,Gujarat,GNR,RENOVATION / Up gradation MI Room at BSF campus Gandhiangar held in charge of 63 Bn BSF (Now 194 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ NO. 112/D-III /OB-RENO/ 26(339)2024-ENGG/ BSF/ 2985-93 DTD 22/04/2024,15.61,*,17.11.24,*,11.03.25,,03.09.25,,,38 %,₹ 0.00,₹ 2.69,₹ 2.69,17.24 %,work in  progress.
26,OB(BS),Ren of NRB,Gujarat,GNR,RENOVATION / Up gradation MT Complex at BSF campus Gandhiangar held in charge of 63 Bn BSF (Now 194 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ NO. 112/D-III OB RENO / 26(340)/2024-ENGG/BSF/ 2993-3000 DTD 22/04/2024,16.35,*,17.11.24,*,11.03.25,,03.09.25,,,65 %,₹ 0.00,₹ 4.60,₹ 4.60,28.14 %,work in  progress.
27,OB(BS),Ren of NRB,Gujarat,GNR,RENOVATION / Up gradation Quarter Guard at BSF campus Gandhiangar held in charge of 63 Bn BSF (Now 194 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ NO. 123/D--III/ OB-RENO/26(341) / 2024- ENGG-BSF/ 3001-08 DTD 22/04/2024,29.61,,17.11.24,31.05.25,10.06.2025,,,,,11 %,₹ 0.00,₹ 0.00,₹ 0.00,0.00 %,work in  progress.
28,OB(BS),Ren of NRB,Gujarat,GNR,RENOVATION / Up gradation if 120 Men Barrack No. 01 of 109 Bn BSF (Now 123 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ No. 123/d-III/ OB-reno/26(342)/2024/ engg/ BSF/3242-50...dtd 25/04/2024 ,92.17,*,27.08.24,*,03.12.24,,18.06.25,,,60 %,0.00,₹ 27.88,₹ 27.88,30.25 %,Work in pregress
29,OB(BS),Ren of NRB,Gujarat,GNR,Renovation Up gradation of 03 Nos Magazine buildings at BSF Campus Dantiwada held on charge 109 Bn (Now 123 Bn) under SHQ BSF Gandhiangar(Civil/Elect works) ,Dept,MHA/No. 123/d-III/ OB-reno/26(343)/2024/ engg/ BSF/3034-41 dtd 23/04/2024 ,19.12,*,27.08.24,*,03.12.24,,03.06.25,,,71 %,0.00,₹ 12.51,₹ 12.51,65.42 %,Work in progress
30,OB(BS),Ren of NRB,Gujarat,GNR,Renovation Upgradation of Adm Block of 63 Bn (Now 194 Bn)  under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/No. 123/d-III/ OB-reno/26(344)/2024/ engg/ BSF/3042-48 dtd 23/04/2024 ,10.48,*,17.11.24,*,16.02.25,,05.08.25,,,63 %,0.00,₹ 3.79,₹ 3.79,36.16 %,Work in progress
31,OB(BS),Ren of NRB,Gujarat,GNR,RENOVATION / Up gradation if 120 Men Barrack No. 02 of 109 Bn BSF (Now 123 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/No. 123/d-III/ OB-reno/26(345)/2024/ engg/ BSF/3049-56 dtd 23/04/2024 ,92.17,*,27.08.24,*,03.12.24,,03.06.25,,,65 %,0.00,₹ 19.40,₹ 19.40,21.05 %,Work in progress 
1,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation/Up-gradation of 120 MEN Barrack(05 Nos)at STC BSF Kharkan camp,Dept,7497-7504 dtd 26.06.24,302.07,26.11.2024,18.02.2025,*,25.06.2025,03.04.26,,, ,10 %,₹ 0.00,₹ 26.09,₹ 26.09,8.64 %,Work in progress; 1st RA Billl pending with PAD of Rs. 17;86;925/-
2,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation/Up-gradation of Administrative Block at STC BSF Kharkan camp,Dept,3350-57 dtd 26 April  2024 ,11.00,20.05.24,30.05.2024,20.06.24,04.07.2024,25.10.2024,,,M/S Harish Bedi,100 %,₹ 12.03,₹ 0.00,₹ 12.03,109.36 %,Work Completed Final Bill Paid to Firm
3,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation /Up gradation of AV Hall(Drill Shed) at STC BSF kharkan camp,Dept,3342-49 dtd 26 April 2024,17.94,18.07.24,19.07.2024,12.08.24,14.08.2024,16.02.2025,,20.03.25,M/S Harish Bedi,90 %,₹ 9.89,₹ 0.00,₹ 9.89,55.13 %,Civil work completed final bill under preparation & Electrical Work in Progress
4,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation /up-gradation of Community Amenity Centre at BSF Kharkan camp,Dept,3374-80 dtd 26 April 2024,21.75,14.08.24,14.08.2024,28.07.2024,23.12.2024,15.05.2025,,,M/S Vivek sharma; Jalandhar,100 %,₹ 9.34,₹ 12.66,₹ 22.00,101.15 %,Work Completed final bill under preparation
5,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation /Up gradation of Faculty of Training $ Sheds Building at STC BSF Kharkan camp,Dept,3387-94 dtd 26 April 2024,10.42,14.08.24,14.08.2024,28.07.2024,22.11.2024,30.04.2025,,,M/S Vivek sharma; Jalandhar,100 %,₹ 0.00,₹ 11.41,₹ 11.41,109.50 %,Work Completed Final bill pending with PAD Rs. 9;68;398/-
6,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation/UP -gradation of Generator Cum Transformer Room at STC BSF Kharkan camp,Dept,3505-12 dtd 29 April 2024,13.06,18.07.24,19.07.2024,12.08.24,14.08.2024,16.02.2025,,,M/S Harish Bedi,90 %,₹ 11.79,₹ 0.00,₹ 11.79,90.28 %,Civil Work Completed; Final bill pending with PAD Rs.5;58;258/- & Electrical work in progress 
7,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation /Up-gradation of Magazine Building at STC BSF Kharkan camp.,Dept,3513-22 dtd 29 April 2024,9.00,20.06.24,02.07.2024,18.07.2024,18.07.2024,24.11.2024,,,M/S Harish Bedi,100 %,₹ 8.32,₹ 1.29,₹ 9.61,106.78 %,Work Completed Final Bill Paid to Firm
8,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation/Up-gradation of MI room at STC BSF Kharkan camp.,Dept,4893-4900 dtd 16 may 2024,11.80,20.05.24,30.05.2024,20.06.24,04.07.2024,25.10.2024,,,M/S Harish Bedi,100 %,₹ 12.62,₹ 0.00,₹ 12.62,106.95 %,Work Completed Final Bill Paid to Firm
9,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation /Up-gradation of MT fleet at STC BSF kharkan camp.,Dept,4936-42 dtd 17 May 2024,12.38,18.07.24,19.07.2024,12.08.24,14.08.2024,16.02.2025,,,M/S Harish Bedi,90 %,₹ 7.42,₹ 2.43,₹ 9.85,79.56 %,Civil Work Completed; & Electrical work in progress 
10,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation/Up-gradation of MTD Wing at STC BSF Kharkan camp.,Dept,5075-83 dtd 17 may 2024,16.46,20.06.24,02.07.2024,18.07.2024,18.07.2024,24.11.2024,,,M/S Harish Bedi,100 %,₹ 16.77,₹ 1.02,₹ 17.79,108.08 %,Work Completed Final Bill Paid to Firm
11,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation/Up-gradation of Tradesmen shop at STC BSF Kharkan camp,Dept,4885-92 dtd 16 may 2024,13.21,18.07.24,19.07.2024,12.08.24,14.08.2024,16.02.2025,,,M/S Harish Bedi,90 %,₹ 6.07,₹ 3.00,₹ 9.07,68.66 %,Work in progress
12,OB(BS),Ren of NRB,STC K/CAMP,K/CAMP,Renovation/Up-gradation of Old  So`s Mess at STC BSF Kharkan camp.,Dept,4447-54 dtd 08 may 2024,23.64,14.08.24,10.01.2025,31.12.2024,30.01.2025,30.07.2025,,,M/S Harish Bedi,60 %,₹ 7.88,₹ 0.00,₹ 7.88,33.33 %,Work in progress
1,OB(BS),Ren of NRB,STC U/PUR ,U/PUR,Renovation/ up-gradation of 120 men barrack HQ Coy at STC BSF Udhampur (Out lived more than 20 years) ,Dept,FHQ(Engg Dte) O/ No. 123 /D-III/OB-RENO /26(428)/2024-Engg/BSF/3389-95 dated 26.04.2024,₹ 75.12,20.05.24,03.08.24,10.09.24,14.09.24,09.02.25,,,"M/S Pratap Singh;
A-8/14; 2nd Floor; Sector – 15
Rohini
New Delhi - 110085",100 %,₹ 17.74,₹ 46.02,₹ 63.76,84.88 %,Work completed final bill submitted to PAD
2,OB(BS),Ren of NRB,STC U/PUR ,U/PUR,Renovation/ up-gradation of 120 men barrack (Bhanwar Hostel) at STC BSF Udhampur (Out lived more than 20 years) ,Dept,FHQ(Engg Dte) O/ No. 123 /D-III/OB-RENO /26(429)/2024-Engg/BSF/3381-88 dated 26.04.2024,₹ 75.12,20.05.24,28.10.24,30.11.24,30.11.24,30.05.25,,,,100 %,₹ 0.00,₹ 81.45,₹ 81.45,108.43 %,Work completed 
3,OB(BS),Ren of NRB,STC U/PUR ,U/PUR,Renovation/ up-gradation of 120 men barrack (Pramod Hostel) at STC BSF Udhampur (Out lived more than 20 years) ,Dept,FHQ(Engg Dte) O/ No. 123 /D-III/OB-RENO /26(430)/2024-Engg/BSF/3366-73 dated 26.04.2024,₹ 59.72,20.05.24,05.06.2024,24.06.24,04.07.24,04.01.25,,,"M/S Pratap Singh;
A-8/14; 2nd Floor; Sector – 15
Rohini
New Delhi - 110085",100 %,₹ 48.10,₹ 15.45,₹ 63.55,106.41 %,Work completed 
4,OB(BS),Ren of NRB,STC U/PUR ,U/PUR,Renovation/ up-gradation of 120 men barrack (Rockey Hostel) at STC BSF Udhampur (Out lived more than 20 years) ,Dept,FHQ(Engg Dte) O/ No. 123 /D-III/OB-RENO /26(431)/2024-Engg/BSF/3358-65 dated 26.04.2024,₹ 75.71,20.05.24,03.08.24,10.09.24,14.09.24,09.02.25,,,"Modi Construction
Govt Contractor
Modi Fruits Company
Mukherjee Nagar
Uidhampur - (J&K)",100 %,₹ 33.15,₹ 15.11,₹ 48.26,63.74 %,Work completed 
5,OB(BS),Ren of NRB,STC U/PUR ,U/PUR,Renovation/ up-gradation of 120 men barrack (Subendu Hostel) at STC BSF Udhampur (Out lived more than 20 years) ,Dept,FHQ(Engg Dte) O/ No. 123 /D-III/OB-RENO /26(432)/2024-Engg/BSF/3256-63 dated 26.04.2024,₹ 59.65,20.05.24,05.06.2024,24.06.24,04.07.24,04.01.25,,,"M/S Pratap Singh;
A-8/14; 2nd Floor; Sector – 15
Rohini
New Delhi - 110085",100 %,₹ 50.58,₹ 13.24,₹ 63.82,106.99 %,Work completed 
6,OB(BS),Ren of NRB,STC U/PUR ,U/PUR,Renovation/ up-gradation of Officer Institute at STC BSF Udhampur (Out lived more than 20 years) ,Dept,FHQ(Engg Dte) O/ No. 123 /D-III/OB-RENO /26(433)/2024-Engg/BSF/3271-78 dated 26.04.2024,₹ 38.54,20.05.24,05.06.2024,26.06.24,06.07.24,06.01.25,,,"Modi Construction
Govt Contractor
Modi Fruits Company
Mukherjee Nagar
Uidhampur - (J&K)",100 %,₹ 22.71,₹ 18.04,₹ 40.75,105.73 %,Work completed
7,OB(BS),Ren of NRB,STC U/PUR ,U/PUR,Renovation/ up-gradation of MI Room at STC BSF Udhampur (Out lived more than 20 years) ,Dept,FHQ(Engg Dte) O/ No. 123 /D-III/OB-RENO /26(434)/2024-Engg/BSF/3279-86 dated 26.04.2024,₹ 28.26,27.05.24,03.08.24,06.09.24,06.09.24,09.02.25,,,M/s Vakeel Singh; Ramban; J&K,100 %,₹ 6.18,₹ 22.82,₹ 29.00,102.62 %,Work completed 
1,OB(BS),Ren of NRB,STC KMR,STC KMR,Renovation/ Up-gradation  of Quarter Guard building/ SO's mess/MT Complex/ GO's mess/ 03 Nos 120 Men barrack (A; E & F Coy) outlive more than 20 years at STC BSF Kashmir,Dept,FHQ O/NO 4669-76 DTD10/05/24,396.28,16.08.2024,16.08.2024,14.02.25,*,,,,,10 %,₹ 0.00,₹ 0.00,₹ 0.00,0.00 %,WORK IN PROGRESS
