s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,remarks,created_at,updated_at,acceptance_date,time_allowed_days,pdc_agreement,award_date,pdc_revised,completion_date_actual,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,current_status,id,delay_days,expected_progress,health_status,health_score,progress_category,risk_level,priority,status,efficiency_score,quality_score,forecast_completion,budget_variance,monthly_burn_rate,message,row
ENG-1761419859723-485,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC KMR,STC KMR,Humahma,Renovation/ Up-gradation  of Quarter Guard building/ SO's mess/MT Complex/ GO's mess/ 03 Nos 120 Men barrack (A; E & F Coy) outlive more than 20 years at STC BSF Kashmir,Dept,FHQ O/NO 4669-76 DTD10/05/24,396.28,16.08.2024,29.08.2024,WORK IN PROGRESS,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,30.01.2025,365 days,22.02.2026,13.02.2025,,,"M/s Kuchay Brothers
M/s Ovais Rashid Dagga
M/s Rashid Dagga
M/s G.N. Rather
M/s Javid Sofi and 
M/s N.A. Sons",50,0,104.98,104.98,26.49,In progress,,,,,,,,,,,,,,,,
ENG-1761419859723-486,TRG INFRA,OB(BS),,Trg Infra,STC KMR,KMR,Humhama,Construction of 08 Nos Covered  / All Weather Squad Posts at STC BSF Kashmir,Dept,FHQ Sanction No. 123 / D-III / AUG-TRG-SCH/ 129 / 2023-Engg /BSF / 7229-35 dated 19/10/2023,50.12,20.10.2023,20.10.2023,"Work Completed.
",2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,25.11.2023,90 days,04.03.2024,06.12.2023,05.05.2024,05.05.2024,M/S Manzoor Ahmed Dar,100,46.99,0,46.99,93.75,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-487,TRG INFRA,OB(BS),,Trg Infra,STC KMR,KMR,Humhama,Upgradation of existing 54 Nos Squad Posts and 08 Nos CLPs at  BSF Campus Humhuma; under STC BSF Kashmir.,Dept,FHQ Sanction No. 123 / D-III / AUG-TRG-SCH/ 104 / 2023-Engg /BSF / 7300-06 dated 20/10/2023,278.1,2023-12-05,28.12.2023,"Work Completed.
",2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,2024-01-18,180 days,29.07.2024,31.01.2024,11.04.2025,11.04.2025,G N Rather Koral Bagh; Budgam (J&K),100,139.29,99.62,238.91,85.91,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-488,TRG INFRA,OB(BS),,Trg Infra,STC K/CAMP,K/CAMP,,Augmentation of training infrastructure 'A' Coy (Sh Renovation of existing CLP; Squad post; Toilet/ urinal point & C/O 02 Nos squad post),Dept,STC PB O/No 6670-75 dtd 26.07.2023,25.51,28.07.23,01.09.2023,work Completed,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,16.08.2023,120,25.12.23,31.08.2023,30.03.24,30.03.24,Harish Bedi,100,28,0,28,109.76,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-489,TRG INFRA,OB(BS),,Trg Infra,STC K/CAMP,K/CAMP,,Augmentation of training infrastructure 'B' Coy (Sh Renovation of existing CLP; Squad post; 05 Nos seated Toilet block & C/O 03 Nos squad post),Dept,STC PB O/No 6670-75 dtd 26.07.2023,22.6,28.07.24,01.09.2023,work Completed,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,16.08.2023,120,25.12.23,31.08.2023,30.03.24,30.03.24,Harish Bedi,100,23.36,0,23.36,103.36,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-490,TRG INFRA,OB(BS),,Trg Infra,STC K/CAMP,K/CAMP,,Augmentation of training infrastructure 'D' Coy (Sh Renovation of existing CLP;  & C/O 08 Nos squad post),Dept,STC PB O/No 6670-75 dtd 26.07.2023,30.06,28.07.25,09.08.2023,work Completed,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,19.08.2023,120,25.12.23,31.08.2023,30.03.24,30.03.24,Harish Bedi,100,33.05,0,33.05,109.95,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-491,TRG INFRA,OB(BS),,Trg Infra,STC K/CAMP,K/CAMP,,Augmentation of training infrastructure 'F' Coy (Sh Renovation of existing CLP; Squad post; Toilet/Urinal point  & C/O 02Nos squad post),Dept,STC PB O/No 6670-75 dtd 26.07.2023,23.7,28.07.26,01.09.2023,work Completed,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,16.08.2023,90,25.12.23,05.09.2023,30.03.24,30.03.24,Harish Bedi,100,26.03,0,26.03,109.83,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-492,TRG INFRA,OB(BS),,Trg Infra,STC U/PUR,U/PUR,,CONSTRUCTION OF 2 NOS COVERED CLP AT STC BSF UDHAMPUR.,Dept,FHQ O/ No. 795-801 dtd 27/02/2024,64.6,2024-05-15,11.06.24,Completed,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,26.06.2024,180,25.12.24,26.06.24,,2025-01-05,M/s Modi Construction Co; Udhampur (J&K),100,60.1,8.02,68.12,105.45,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-493,TRG INFRA,,,,,,,,,,,,,,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-494,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Kashmir,SGR,,Re-carpeting of internal road (4519 Mtrs) at BSF Campus Panthachowk under SHQ BSF Srinagar,Dept,3594803 dtd 26/07/2023,210.39,16/08/2023,17/08/2023,Work completed.,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,05.10.2023,,27.10.2024,12.10.2023,27.10.2024,08.07.24,M/s Jhelum Construction Company; Budgam.,100,181.15,0,181.15,86.1,,,,,,,,,,,,,,,,,
ENG-1761419859723-495,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Kashmir,BDR,,Re-carpeting of internal road at BSF Campus Bandipur under SHQ BSF Bandipur,Dept,3594803 dtd 26/07/2023,66.4,22.08.2023,14/09/2023,Work completed.,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,05.10.2023,,16.04.2024,07.10.2023,16.04.2024,20.10.2023,M/s Fayaz Ahmad Bhat; Pulwama,100,59.89,0,59.89,90.2,,,,,,,,,,,,,,,,,
ENG-1761419859723-496,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Kashmir,BLA,,Re-carpeting of internal road at Singhpura Campus under SHQ BSF Baramulla,Dept,3594803 dtd 26/07/2023,98.73,08.08.2023,2023-08-07,Work completed.,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,04/09/2023,,2024-11-02,05/09/2023,03.11.2024,24.03.24,M/s Fayaz Ahmad Bhat; Pulwama,100,92.22,0,92.22,93.41,,,,,,,,,,,,,,,,,
ENG-1761419859723-497,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Kashmir,KUP,,Re-carpeting of bituminous road at Kupwara BSF Campus from main gate to Morcha No.18 of 169 Bn BSF (Now 140 Bn) under SHQ BSF Kupwara.,Dept,3594803 dtd 26/07/2023,22.88,08.08.2023,2024-05-28,Work completed.,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,29.05.2024,,06.01.2024,01.07.2024,06.01.2024,05.08.24,M/s Fayaz Ahmad Bhat; Pulwama,100,22.84,0,22.84,99.83,,,,,,,,,,,,,,,,,
ENG-1761419859723-498,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,RJR,,Renovation/Up-gradation of UG Cable and feeder pillars/panel etc at SHQ BSF RJR,Dept,3594803 dtd 26/07/2023,83.23,18.08.23,27.09.2023,Presently work held up due to allied extra cable lying and other allied work,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,14.12.2023,,26.08.2024,26.12.2023,,,M/s Swarn Electricals Jammu,50,39.230000000000004,0,39.230000000000004,47.13,,,,,,,,,,,,,,,,,
ENG-1761419859723-499,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,RJR,,Renovation/Up-gradation of UG cable and feeder pillars/panel etc at Bn HQ Achhad under SHQ BSF RJR,Dept,3594803 dtd 26/07/2023,89.34,18.08.23,16.09.2023,Work is  in progress,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,29.01.2024,,12.10.2024,12.02.2024,,,M/s Neptune enterprise Baramulla,50,35.53,0,35.53,39.77,,,,,,,,,,,,,,,,,
ENG-1761419859723-500,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,RJR,,Renovation/Up-gradation of UG cable and feeder pillars/panel etc at Bn HQ Mandi Mandir under SHQ BSF RJR,Dept,3594803 dtd 26/07/2023,60.93,18.08.23,16.09.2023,Work is  in progress,2025-10-25T19:17:42.201Z,2025-10-25T19:17:42.201Z,29.01.2024,,12.10.2024,12.02.2024,,,M/s Neptune enterprise Baramulla,5,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-501,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,RJR,,Renovation of street /security Lights at Bn HQ Mandir Mandi under SHQ BSF Rajouri.,Dept,3594803 dtd 26/07/2023,32.54,18.08.23,09.10.2023,Work is  in progress,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,29.01.2024,,09.02.2024,09.02.2024,,,M/s Subham Engineers,70,18.71,0,18.71,57.5,,,,,,,,,,,,,,,,,
ENG-1761419859723-502,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,RJR,,Renovation of street /security Lights at Bn HQ Achhad under SHQ BSF Rajouri.,Dept,3594803 dtd 26/07/2023,27.95,06.09.23,16.09.2023,Work is  in progress,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,26.12.2023,,08.07.2024,08.01.2024,,,M/s Neptune enterprise Baramulla,85,21.19,0,21.19,75.81,,,,,,,,,,,,,,,,,
ENG-1761419859723-503,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,I/NAGAR,,Improvement/Up-gradation of outdoor panels and UG cable installed at Bn HQ samba of 19 Bn BSF under SHQ BSF I/Nagar,Dept,3594803 dtd 26/07/2023,19.95,18.08.2023,29.08.23,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,21.11.2023,,30.03.2024,30.11.2023,,,M/s Subham Engineers,100,17.91,0,17.91,89.77,,,,,,,,,,,,,,,,,
ENG-1761419859723-504,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,I/NAGAR,,Re-carpeting of internal road at BSF Campus Samba of 19 Bn BSF under SHQ BSF I/Nagar,Dept,3594803 dtd 26/07/2023,91.64,26.08.2023,18.09.2023,Work completed and final account settled,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,11.10.2023,60 days,19.12.2023,16.10.23,,17.03.2024,M/s Anjali Stone Crusher,100,67.05,0,67.05,73.17,,,,,,,,,,,,,,,,,
ENG-1761419859723-505,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,SBN,,Re-carpeting of internal road at 69 Bn BSF Campus; Sunderbani under SHQ BSF SBN,Dept,3594803 dtd 26/07/2023,58.77,29.08.2023,21.06.2025,"Initial work rescinded.
Fresh work awarded on  09.09.2025 and yet to start
",2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,18.08.2025,60 days,28.10.2025,09.09.2025,,,M/s Al Habib Builders and Construction Company,0,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-506,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,SBN,,Recarpeting of internal road at 152 Bn BSF Campus Nowshera under SHQ BSF SBN,Dept,3594803 dtd 26/07/2023,53.75,29.08.2023,25.09.2023,Work completed and final account settled,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,12.01.2024,60 days,28.03.2024,27.01.24,,10.06.2024,M/s Al Habib Builders and Construction Company,100,39.11,0,39.11,72.76,,,,,,,,,,,,,,,,,
ENG-1761419859723-507,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,SBN,,Recarpeting of existing road at 92 Bn BSF Campus Akhnoor under SHQ BSF SBN,Dept,3594803 dtd 26/07/2023,100,29.08.2023,25.09.2023,Work completed and final account settled,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,06.02.2024,90 days,15.05.2024,16.02.2024,,11.07.2024,M/s Al Habib Builders and Construction Co.,100,85.25,0,85.25,85.25,,,,,,,,,,,,,,,,,
ENG-1761419859723-508,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Jammu,RJR,,Re-carpeting of internal road at SHQ BSF Rajouri.,Dept,3594803 dtd 26/07/2023,56.06,29.08.2023,25.09.2023,Work completed and final account settled,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,21.05.2024,60 days,31.07.2024,31.05.2024,,23.09.2024,,100,57.42,0,57.42,102.43,,,,,,,,,,,,,,,,,
ENG-1761419859723-509,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,FTR PB,,Re-carpeting of Internal bituminous road of campus Jalandhar under Ftr HQ BSF Punjab,Dept,3594803 dtd 26/07/2023,98.99965,28.07.2023,28.07.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,29.08.2023,30 days,20.11.2023,05.09.2023,20.11.23,10.07.2024,M/S Bhayam Constr Cop,100,98.81166999999999,0,98.81166999999999,99.81,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-510,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,GSP,,Re-carpeting of Internal road in the residential and Non-Residential building at 132 Bn (Now 121 Bn) BSF campus Madhopur under SHQ BSF Gurdaspur.,Dept,3594803 dtd 26/07/2023,86.00371,11.08.2023,11.08.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,15.09.2023,30 days,30.10.24,16.10.2023,31.12.24,19.07.2025,M/S Jas Construction Co.,100,86.96327,0,86.96327,101.12,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-511,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,GSP,,Re-carpeting of Internal road at Bn HQ DBN of 12 Bn (Now 89 Bn) BSF under SHQ BSF Gurdaspur.,Dept,3594803 dtd 26/07/2023,96.55356,11.08.2023,11.08.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,15.09.2023,90 Days,09.12.2023,16.10.2023,31.12.24,30.01.2025,M/S Jas Construction Co.,100,92.67872,0,92.67872,95.99,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-512,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,GSP,,Re-carpeting of Internal road in the residential and Non-Residential Qtr area of 73 Bn BSF Ajnala under SHQ BSF Gurdaspur.,Dept,3594803 dtd 26/07/2023,20.65517,29.09.2023,29.09.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,01.01.2024,90 Days,06.04.2024,16.01.24,31.10.24,03.01.2025,M/S Singh Traders,100,20.21184,0,20.21184,97.85,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-513,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,ASR,,Augumentation of Security light along periphery of 138 Bn SHQ BSF Amritsar,Dept,3594803 dtd 26/07/2023,29.22,11.09.2023,11.09.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,12.10.2023,180 Dsys,21.05.24,20.10.2023,31.12.24,31.12.2024,M/S S D Sales,100,24.34,0,24.34,83.3,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-514,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,ASR,,Augumentation of Existing Security light along periphery of 22 Bn SHQ BSF Amritsar,Dept,3594803 dtd 26/07/2023,41.74,11.09.2023,11.09.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,12.10.2023,180 Dsys,21.05.24,20.10.2023,31.12.24,31.12.2024,M/S S D Sales,100,33.22,0,33.22,79.59,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-515,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,ASR,,Augumentation of  Security lights at boundary wall from MT area to gate No.4 of BSF Campus Khasa of 88 Bn SHQ BSF Amritsar,Dept,3594803 dtd 26/07/2023,37.31,11.09.2023,11.09.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,12.10.2023,180 Dsys,21.05.24,20.10.2023,31.12.24,31.12.2024,M/S S D Sales,100,35.11,0,35.11,94.1,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-516,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,FZR,,Re-carpeting of Internal roads at BSF Campus Ferozepur under SHQ BSF Ferozepur.,Dept,3594803 dtd 26/07/2023,99.12926,10.08.2023,10.08.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,15.09.2023,30 Days,09.12.2023,04.10.2023,31.10.24,31.12.2024,M/S S. K. S Construction,100,108.39,0,108.39,109.34,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-517,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,FZR,,Re-carpeting of Existing road at BN HQ 87 Bn (Now 103 Bn) BSF Amarkot under SHQ BSF Ferozepur.,Dept,3594803 dtd 26/07/2023,88.57086,10.08.2023,10.08.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,15.09.2023,30 Days,09.12.2023,29.09.2023,31.10.24,16.08.2025,M/S S. K. Builders,100,92.84941,0,92.84941,104.83,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-518,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,FZR,,Re-carpeting of Existing road at BN HQ 29 Bn (Now 116 Bn) BSF Mamdot under SHQ BSF Ferozepur.,Dept,3594803 dtd 26/07/2023,96.65946,10.08.2023,10.08.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,15.09.2023,30 Dasy,09.12.2023,29.09.2023,31.10.24,31.10.2024,M/S Rajan Construction,100,106.28376,0,106.28376,109.96,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-519,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,FZR,,Re-carpeting of Existing road at Bn HQ 14 Bn (Now 101 Bn) BSF Khemkaran  under SHQ BSF Ferozepur.,Dept,3594803 dtd 26/07/2023,86.0359,10.08.2023,10.08.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,15.09.2023,30 Dasy,09.12.2023,06.10.2023,31.10.24,16.08.2025,M/S Harmesh Kumar Sharma & Sons,100,81,0,81,94.15,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-520,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,FZR,,Re-carpeting of Internal road at Bn HQ 136 Bn BSF KMS Wala under SHQ BSF Ferozepur.,Dept,3594803 dtd 26/07/2023,93.4569,10.08.2023,10.08.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,19.09.2023,90 Days,13.12.2023,25.10.2023,31.10.24,16.08.2025,M/S Harmesh Kumar Sharma & Sons,100,96.63,0,96.63,103.4,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-521,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,FZR,,Re-carpeting of Internal roads of 124 Bn (Now 182 Bn) BSF Jalalabad under SHQ BSF Abohar.,Dept,3594803 dtd 26/07/2023,98.43458,10.08.2023,10.08.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,15.09.2023,90 Days,29.06.24,02.11.23,31.10.24,31.10.2024,M/S Gautam Kaluccha Contractor,100,103.13,0,103.13,104.77,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-522,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,FZR,,Renovation/Up-gradation of Electrical Distribution System at 124 Bn  BSF Under SHQ BSF Abohar. Now 182 Bn BSF under SHQ BSF FZR,Dept,3594803 dtd 26/07/2023,43.31,10.08.23,10.08.23,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,15.09.23,90 Days,08.12.23,29.09.23,31.10.24,31.10.2024,M/S Maa Durga,100,47,0,47,108.52,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-523,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,ABR,,Re-carpeting of Internal roads at Bn HQ 96 Bn (Now 66 Bn) BSF Campus Rampura under SHQ BSF Abohar.,Dept,3594803 dtd 26/07/2023,86.51531,14.08.2023,14.08.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,20.09.2023,90 Days,14.12.2023,05.10.2023,31.10.24,30.05.2024,M/S Rajinder Kumar & Co.,100,74.86,0,74.86,86.53,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-524,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,ABR,,Re-carpeting of Internal roads at Bn HQ 52 Bn BSF Campus Fazilka under SHQ BSF Abohar.,Dept,3594803 dtd 26/07/2023,49.6737,14.08.2023,14.08.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,20.09.2023,90 Days,14.12.2023,05.10.2023,31.10.24,17.08.2024,M/S Rajinder Kumar & Co.,100,43.04,0,43.04,86.65,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-525,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Punjab,ABR,,Renovation/Up-gradation of Abohar campus street light of 181 Bn BSF under SHQ BSF Abohar.,Dept,3594803 dtd 26/07/2023,14.48,14.08.2023,19.09.2023,Work Completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,20.09.2023,90 Days,14.12.2023,05.10.2023,31.10.24,,M/S Arora Brothers,100,11.77,0,11.77,81.28,Completed,,,,,,,,,,,,,,,,
ENG-1761419859723-526,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,FTR RAJ,,Recarpating of internal Bituminious Road under Ftr HQ BSF Jodhour,Dept,3594803 dtd 26/07/2023,99.05,31.07.23,17.08.2023,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,05.09.2023,,30.06.24,18.10.23,,20.10.24,Shri Constr. Jodhpur,100,99.05,0,99.05,100,,,,,,,,,,,,,,,,,
ENG-1761419859723-527,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,FTR RAJ,,Renovation/ Up-gradation of UG Cable and feeder pillars/ Panels of camous under Ftr HO BSF Jodhpur. (Elect),Dept,3594803 dtd 26/07/2023,31.93,21.11.23,31.01.2024,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,13.02.2024,75 Days,08.05.2024,20.02.2024,,03.10.24,M/s Friends Electrical Traders,100,33.11,0,33.11,103.7,,,,,,,,,,,,,,,,,
ENG-1761419859723-528,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,FTR RAJ,,Renovation of street lights of campus under Ftr HQ BSF Jodhpur. (Elect),Dept,3594803 dtd 26/07/2023,35.35,21.11.23,07.01.2024,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,24.01.2024,75 Days,18.04.2024,07.02.2024,,09.10.24,M/s Lokesh Enterprises Bikaner,100,35.99,0,35.99,101.81,,,,,,,,,,,,,,,,,
ENG-1761419859723-529,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,SGNR,,Re-carpeting of Road (Length + 2500 meters) of 91 Bn (Now 77 Bn)  BSF Sri Karanpur Campus under SHQ BSF SGNR Ftr HQ BSF Raj,Dept,3594803 dtd 26/07/2023,58.57,2023-08-09,11.09.2023,Work completed.,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,2023-10-15,,05.03.24,2023-10-17,,21.09.24,M/s Gurunanak Construction Co;,100,57.87,0,57.87,98.8,,,,,,,,,,,,,,,,,
ENG-1761419859723-530,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,SGNR,,Re-carpeting of metal road of 104 Bn (Now 23 Bn)  Anupgarh under SHQ BKNR.,Dept,3594803 dtd 26/07/2023,35.5,2023-08-09,11.09.2023,Work completed.,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,2023-10-15,1900-04-28,05.03.24,2023-10-17,,15.08.24,M/s Gurunanak Construction Co;,100,34.71,0,34.71,97.77,,,,,,,,,,,,,,,,,
ENG-1761419859723-531,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,SGNR,,Renovation/ Up-gradation of Street / Security light 91 Bn (now 77 BN BSF)  BSF HQ Sri Karanpur Campus under SHQ BSF SGNR (Elect),Dept,3594803 dtd 26/07/2023,43.42,08.02.2024,23.10.2024,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,21.11.2024,1900-03-14,13.02.2025,26.11.2024,,14.02.25,M/s Nandeshvari Elect Barmer;,100,45.63,0,45.63,105.09,,,,,,,,,,,,,,,,,
ENG-1761419859723-532,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,SGNR,,Renovation/ Up-gradation of UG Cable 91 Bn (Now 77 Bn)BSF HQ Sri Karanpur Campus under SHQ BSF SGNR. (Elect),Dept,3594803 dtd 26/07/2023,37.21,08.02.24,23.10.2024,Work completed,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,21.11.2024,75,13.02.25,17.12.2024,,2025-05-30,Prem Enterprises,100,26.08,2.1,28.18,75.73,,,,,,,,,,,,,,,,,
ENG-1761419859723-533,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,SGNR,,Renovation/up-gradation of Street / Security light of 156 Bn (Now 34 Bn) BSF HQ Raisinghnagar under SHQ BSF SGNR (Elect),Dept,3594803 dtd 26/07/2023,34.79,11.12.23,23.10.2024,Work completed and final bill under preparation.,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,21.11.2024,75,13.02.2025,17.12.2024,,30.04.2025,M/s Singla Elect Srirganganagar,100,24.7,0,24.7,71,,,,,,,,,,,,,,,,,
ENG-1761419859723-534,REV DEVLOPMENT,OB(BS),Umbrella 2021-26,Ren Devl works,Rajasthan,SGNR,,Renovation / up-gradation of UG Cable of 125 Bn (Now 48 Bn)  BSF Old location Sri Ganganagar under SHQ BSF SGNR. (Elect),Dept,3594803 dtd 26/07/2023,31.82,09.01.24,12.02.2024,Work completed. Bill Rs. 19.05 Lakh pending with PAD,2025-10-25T19:17:42.202Z,2025-10-25T19:17:42.202Z,19.04.2024,90,27.07.2024,07.05.2024,,25.07.2024,M/s Singla Elect Srirganganagar,100,13.46,0,13.46,42.3,,,,,,,,,,,,,,,,,
