s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,acceptance_date,award_date,time_allowed_days,pdc_agreement,pdc_revised,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,remarks,created_at,updated_at,completion_date_actual,current_status
ENG-1759510506319-401,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Rajasthan,FTR RAJ,,Renovation/Upgradation of provisioning complex (more than 20 years) at Ftr location under Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6405-11 dtd 31.05.2024 ,33.34,29.08.24,30.08.24,18.09.24,18.09.24,240,29.05.2025,,M/s S S R Const and Devlp Company; Jodhpur,70,0,10.15,10.15,30.44,Work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-402,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Rajasthan,FTR RAJ,,Renovation/Upgradation of 'A' Block Jawan Barrack at  Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6412-18 dtd 31.05.2024 ,80.82,01.07.24,09.08.24,04.09.24,18.09.24,300,14.7.2025,,M/s Vishnu Const Company; Jodhpur,45,15.42,0,15.42,19.08,Work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-403,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Rajasthan,FTR RAJ,,Renovation/Upgradation of 'B' Block Jawan Barrack at  Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 4530-36 dtd 09.05.2024 ,65.72,04.06.2024,08.08.24,09.09.24,17.09.24,360,17.09.25,,M/s Vishnu Const Company; Jodhpur,40,0,7.85,7.85,11.94,Work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-404,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Rajasthan,FTR RAJ,,Renovation/Upgradation of 'C' Block Jawan Barrack at  Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 4547-54 dtd 09.05.2024,80.12,31.05.2024,06.08.24,30.08.24,09.09.24,300,09.07.25,,M/s Vishnu Const Company; Jodhpur,40,18.49,2.2,20.689999999999998,25.82,Work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-405,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Rajasthan,FTR RAJ,,Renovation/Upgradation of 'D' Block Jawan Barrack at  Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6419-25 dtd 31.05.2024,65.26,30.07.24,05.08.24,30.08.24,09.09.24,360,08.09.25,,M/s Vishnu Const Company; Jodhpur,40,0,18.8,18.8,28.81,Work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-406,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Rajasthan,FTR RAJ,,Renovation/Upgradation of Adm Block at  Ftr HQ BSF Rajasthan,Dept,FHQ O/No. 6666-72 dtd 31.05.2024,68.93,06.08.24,08.08.24,09.09.24,17.09.24,360,17.09.2025,,M/s Vishnu Const Company; Jodhpur,35,4.94,15.85,20.79,30.16,Work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-407,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,FTR GUJ,,Improvement of 06 Nos 20 men Jawan Barrack at FTR HQ BSF Gujarat ,Dept,FHQ O/ No. 123/d-III/ OB-reno/26(351) /2024/ engg/ BSF/3095 - 3102 dtd 23/04/2024 ,39.32884,23.07.24,12.12.24,06.03.25,09.04.2025,,,,,35,0,7.8,7.8,19.83,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-408,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of electric sub-station at BN HQ  Campus -IV of 142 BN (Now 76 BN) under SHQ BSF Barmer.,Dept,MHANO. 112/D-III/OB -RENO/ 26(363)/ 2024-ENGG/ BSF/ 2523-31 DTD 18/04/2024 ,10.08581,01.09.24,21.10.24,,26.11.2024,,07.06.25,,,100,0,6.05,6.05,59.99,work completed,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-409,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of MI room building at BN HQ of 142 BN Jalipa Camp (Now 76 BN) under SHQ BSF Barmer.,Dept,MHA/No. 123/d-III/ OB-reno/26(355)/2024/ engg/ BSF/3225-31 dtd 23-04-2024 ,22.96106,23.08.24,23.08.24,,18.11.2024,,20.05.25,,,100,0,6.09,6.09,26.52,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-410,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of Magazine building Q/guard  at BN HQ Campus-III of 13 BN BSF  under SHQ BSF Barmer.,Dept,MHA/No. 123/d-III/ OB-reno/26(352)/2024/ engg/ BSF/3102-08 dtd 23/04/2024 ,20.86,23.08.24,23.08.24,,18.11.2024,,20.05.25,,,40,0,5.48,5.48,26.27,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-411,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of MI room building of 13 BN BSF (BN HQ Magra)  under SHQ BSF Barmer.,Dept,MHA/ NO. 112/D-III/OB-RENO/26(354)/2024/ENGG/ BSF/ 2576-84DTD 18/04/2024,25.52577,23.08.24,23.08.24,,18.11.2024,,20.05.25,,,25,0,1.07,1.07,4.19,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-412,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of Garrage at BN HQ Campus-III of 13 BN BSF  under SHQ BSF Barmer.,Dept,MHA/ NO. 112/D-III/OB-RENO/26(356)/2024/ENGG/ BSF/ 2585-93 DTD 18/04/2024,19.27314,01.09.24,14.10.24,,26.11.2024,,07.06.25,,,100,0,14.52,14.52,75.34,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-413,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of ADM block at BN HQ Campus-III of 13 BN BSF  under SHQ BSF Barmer.,Dept,MHA/No. 123/d-III/ OB-reno/26(353)/2024/ engg/ BSF/3109-16 dtd 23/04/2024 ,24.83465,23.08.24,23.08.24,,18.11.2024,,20.05.25,,,40,0,6.92,6.92,27.86,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-414,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of New MT garage at BN HQ Campus-I of 115 BN BSF (Now 83 BN) under SHQ BSF Barmer.,Dept,MHA / No. 123/d-III/ OB-reno/26(359)/2024/ engg/ BSF/3117-24dtd 23/04/2024 ,25.8774,01.10.24,14.10.24,,26.11.2024,,07.06.25,,,100,0,19.2,19.2,74.2,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-415,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of MI room at BSF Campus-I of 115 BN BSF (Now 83 BN) under SHQ BSF Barmer.,Dept,MHA/No. 123/d-III/ OB-reno/26(366)/2024/ engg/ BSF/2444-52 dtd 18/04/2024 ,25.67113,19.08.24,23.08.24,,18.11.2024,,20.05.25,,,50,0,5.9,5.9,22.98,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-416,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of trade man shop (Now signal centre) at BN HQ Campus-I of 115 BN BSF (Now 83 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB-RENO/26(360)/2024-ENGG/BSF/ 2558-66 DTD 18/04/2024,12.27625,18.08.24,23.08.24,,18.11.2024,,20.05.25,,,25,0,0.6,0.6,4.89,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-417,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of signal center (Now DC(G) office) at BN HQ BSF Campus-I of 115 BN BSF (Now 83 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB-RENO/26(362)/2024-ENGG/BSF/ 2567-75 DTD 18/04/2024,9.8938,16.08.24,23.08.24,,18.11.2024,,,,,40,0,1.75,1.75,17.69,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-418,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of 120 men jawan barrack  at BN HQ Campus-II of 50 BN BSF (Now 28 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB-RENO/26(364)/2024-ENGG/BSF/ 2514-22DTD 18/04/2024,192.74435,,09.04.25,,2025-08-24,,,,,5,0,1.87,1.87,0.97,work awarded on 25.08.25,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-419,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of MT/barrack store at BN HQ Campus-II of SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB-RENO/26(358) 2024/ENGG/BSF/ 2541-48 DTD 18/04/2024,25.76838,18.08.24,23.08.24,,26.11.24,,20.05.25,,,40,0,1.33,1.33,5.16,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-420,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of MI room at BN HQ Campus-II of 50 BN BSF (Now 28 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB-RENO/26(367) 2024/ENGG/BSF/ 2463-61 DTD 18/04/2024,25.58978,22.08.24,23.08.24,,18.11.2024,,20.05.25,,,55,0,5.58,5.58,21.81,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-421,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of SO'S mess at BN HQ Campus-II of 50 BN BSF (Now 28 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB RENO/26(365)/2024-ENGG/BSF/2505-13 DTD 18/04/2024,43.39484,27.09.24,14.10.24,,26.11.2024,,07.06.25,,,20,0,1.12,1.12,2.58,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-422,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of Quarter Guard at BN HQ Campus-II of 50 BN BSF (Now 28 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB RENO/26(357)/2024-ENGG/BSF/2549-57DTD 18/04/2024,31.02065,19.08.24,23.08.24,,18.11.2024,,20.05.25,,,60,0,12.17,12.17,39.23,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-423,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BMR,,Renovation and up-gradation of electric sub-station at BN HQ Campus-II of 50 BN BSF (Now 28 BN) under SHQ BSF Barmer.,Dept,MHA/NO. 112/D-III/OB RENO/26(361)/2024-ENGG/BSF2532-40 DTD 18/04/2024,9.67214,22.08.24,23.08.24,,18.11.2024,,20.05.25,,,100,0,3.3,3.3,34.12,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-424,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BHUJ,,Renovation/ Up-Gradation of Adm Block of 108 bn (Now 18 Bn)BSF campus -I under SHQ BSF Bhuj,Dept,MHA/No. 123/d-III/ OB-reno/26(346)/2024/ engg/ BSF/3057-64dtd 23/04/2024 ,36.75109,1443-47 DTD 24-06-2024,21.08.24,,11.12.24,,26.04.2025,,,62,0,20.16,20.16,54.86,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-425,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BHUJ,,Renovation/ Up-Gradation of Quarter guard Building  of 108 bn HQ (Now 03Bn)BSF under SHQ BSF Bhuj,Dept,MHA/No. 123/d-III/ OB-ENO/26(347)/2024/ engg/ BSF/3062-72 dtd 23/04/2024 ,33.40425,1438-42 DTD 25-06-2024,13.09.24,,2024-12-19,,18.06.25,,,100,0,12.37,12.37,37.03,work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-426,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BHUJ,,Renovation/ Up-Gradation of Quarter master  building  of 108 bn (Now 18 Bn)BSF campus -I under SHQ BSF Bhuj,Dept,MHA/No. 123/d-III/ OB-reno/26(348)/2024/ engg/ BSF/3073-80 dtd 23/04/2024 ,34.17604,1448-52 DTD 25-08-2024,21.08.24,14.10.24,12.11.2024,,27.04.2025,,,95,0,22.66,22.66,66.3,work in progress,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-427,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BHUJ,,Renovation/ Up-Gradation of MT Garrage building   of 105 bn (Now 18 Bn)BSF campus -I under SHQ BSF Bhuj,Dept,MHA/ No. 123/d-III/ OB-reno/26(349)/2024/ engg/ BSF/3081-88 dtd 23/04/2024 ,10.24141,,,,,,,,,,,,0,0,case for revised sanction has been submitted to FHQ by  HQ SDG (WC)  through e-office on 16.06.25.Some observation raised by  FHQ and same is under rectification at SHQ.,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-428,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,BHUJ,,Renovation / Up gradation of 120 Men Jawan Barrack under occupation of 150 Bn (Now 74 Bn) Gandhidham under SHQ BSF Bhuj,Dept,MHA/No. 123/d-III/ OB-reno/26(350)/2024/ engg/ BSF/3233-41...dtd 23/04/2024 ,52.96646, 1715-18 DTD 24-07-2024,21.08.24,,20.12.24,,18.06.25,,,75,0,35.24,35.24,66.53,Work in progress,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-429,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,GNR,,Renovation  / Up gradation So's mess at BSF campus Gandhiangar held in charge of 63 Bn BSF (Now 194 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ NO. 123/D--III/ OB-RENO/26(337) / 2024- ENGG-BSF/ 3018-26 DTD 22/04/2024,23.49639,*,17.11.24,16.05.25,29.05.25,,25.11.25,,,5,0,0,0,0,Final action notice issued to firm by CTA on 19.08.2025 for forefit of PG.,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-430,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,GNR,,Renovation / Up gradation So's mess at BSF campus Deantiwada held in charge of 109 Bn BSF (Now 123 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ NO. 123/D--III/ OB-RENO/26(338) / 2024- ENGG-BSF/ 3009-3018 DTD 22/04/2024,23.49639,*,26.11.24,*,11.03.25,,03.09.25,,,55,0,11.68,11.68,49.71,Work in progress.,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-431,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,GNR,,RENOVATION / Up gradation MI Room at BSF campus Gandhiangar held in charge of 63 Bn BSF (Now 194 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ NO. 112/D-III /OB-RENO/ 26(339)2024-ENGG/ BSF/ 2985-93 DTD 22/04/2024,15.6066,*,17.11.24,*,11.03.25,,03.09.25,,,38,0,2.69,2.69,17.24,work in  progress.,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-432,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,GNR,,RENOVATION / Up gradation MT Complex at BSF campus Gandhiangar held in charge of 63 Bn BSF (Now 194 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ NO. 112/D-III OB RENO / 26(340)/2024-ENGG/BSF/ 2993-3000 DTD 22/04/2024,16.34559,*,17.11.24,*,11.03.25,,03.09.25,,,65,0,4.6,4.6,28.14,work in  progress.,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-433,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,GNR,,RENOVATION / Up gradation Quarter Guard at BSF campus Gandhiangar held in charge of 63 Bn BSF (Now 194 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ NO. 123/D--III/ OB-RENO/26(341) / 2024- ENGG-BSF/ 3001-08 DTD 22/04/2024,29.61,,17.11.24,31.05.25,10.06.2025,,,,,11,0,0,0,0,work in  progress.,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-434,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,GNR,,RENOVATION / Up gradation if 120 Men Barrack No. 01 of 109 Bn BSF (Now 123 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/ No. 123/d-III/ OB-reno/26(342)/2024/ engg/ BSF/3242-50...dtd 25/04/2024 ,92.16639,*,27.08.24,*,03.12.24,,18.06.25,,,60,0,27.88,27.88,30.25,Work in pregress,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-435,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,GNR,,Renovation Up gradation of 03 Nos Magazine buildings at BSF Campus Dantiwada held on charge 109 Bn (Now 123 Bn) under SHQ BSF Gandhiangar(Civil/Elect works) ,Dept,MHA/No. 123/d-III/ OB-reno/26(343)/2024/ engg/ BSF/3034-41 dtd 23/04/2024 ,19.12382,*,27.08.24,*,03.12.24,,03.06.25,,,71,0,12.51,12.51,65.42,Work in progress,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-436,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,GNR,,Renovation Upgradation of Adm Block of 63 Bn (Now 194 Bn)  under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/No. 123/d-III/ OB-reno/26(344)/2024/ engg/ BSF/3042-48 dtd 23/04/2024 ,10.48198,*,17.11.24,*,16.02.25,,05.08.25,,,63,0,3.79,3.79,36.16,Work in progress,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-437,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,Gujarat,GNR,,RENOVATION / Up gradation if 120 Men Barrack No. 02 of 109 Bn BSF (Now 123 Bn) under SHQ BSF Gandhinagar (Civil/Elect works),Dept,MHA/No. 123/d-III/ OB-reno/26(345)/2024/ engg/ BSF/3049-56 dtd 23/04/2024 ,92.16639,*,27.08.24,*,03.12.24,,03.06.25,,,65,0,19.4,19.4,21.05,Work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-438,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation/Up-gradation of 120 MEN Barrack(05 Nos)at STC BSF Kharkan camp,Dept,7497-7504 dtd 26.06.24,302.07,26.11.2024,18.02.2025,2025-06-09,25.06.2025,300,03.04.26,, ,30,0,52.61,52.61,17.42,Work in progress ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,In progress
ENG-1759510506319-439,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation/Up-gradation of Administrative Block at STC BSF Kharkan camp,Dept,3350-57 dtd 26 April  2024 ,11,20.05.24,30.05.2024,2024-06-19,04.07.2024,90,25.10.2024,,M/S Harish Bedi,100,12.03,0,12.03,109.36,Work Completed Final Bill Paid to Firm,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,25.10.2024,Completed 
ENG-1759510506319-440,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation /Up gradation of AV Hall(Drill Shed) at STC BSF kharkan camp,Dept,3342-49 dtd 26 April 2024,17.94,18.07.24,19.07.2024,2024-08-11,14.08.2024,180,16.02.2025,20.03.25,M/S Harish Bedi,100,9.89,3.72,13.610000000000001,75.86,Work completed final bill under preparation ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,20.05.2025,Completed 
ENG-1759510506319-441,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation /up-gradation of Community Amenity Centre at BSF Kharkan camp,Dept,3374-80 dtd 26 April 2024,21.75,14.08.24,14.08.2024,28.07.2024,23.12.2024,180,15.05.2025,,M/S Vivek sharma; Jalandhar,100,9.34,13.65,22.990000000000002,105.7,Work Completed Final Bill Paid to Firm,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,17.06.2025,Completed 
ENG-1759510506319-442,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation /Up gradation of Faculty of Training $ Sheds Building at STC BSF Kharkan camp,Dept,3387-94 dtd 26 April 2024,10.42,14.08.24,14.08.2024,28.07.2024,22.11.2024,180,30.04.2025,,M/S Vivek sharma; Jalandhar,100,0,11.41,11.41,109.5,Work Completed Final Bill Paid to Firm,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,17.06.2025,Completed 
ENG-1759510506319-443,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation/UP -gradation of Generator Cum Transformer Room at STC BSF Kharkan camp,Dept,3505-12 dtd 29 April 2024,13.06,18.07.24,19.07.2024,2024-08-11,14.08.2024,180,16.02.2025,,M/S Harish Bedi,100,11.79,7.75,19.54,149.62,Work Completed Final Bill Paid to Firm,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,28.05.2025,Completed 
ENG-1759510506319-444,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation /Up-gradation of Magazine Building at STC BSF Kharkan camp.,Dept,3513-22 dtd 29 April 2024,9,20.06.24,02.07.2024,18.07.2024,18.07.2024,120,24.11.2024,,M/S Harish Bedi,100,8.32,1.29,9.61,106.78,Work Completed Bill paid to firm,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,24.11.2024,Completed 
ENG-1759510506319-445,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation/Up-gradation of MI room at STC BSF Kharkan camp.,Dept,4893-4900 dtd 16 may 2024,11.8,20.05.24,30.05.2024,2024-06-19,04.07.2024,120,25.10.2024,,M/S Harish Bedi,100,12.62,0,12.62,106.95,Work Completed Bill paid to firm,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,25.10.2024,Completed 
ENG-1759510506319-446,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation /Up-gradation of MT fleet at STC BSF kharkan camp.,Dept,4936-42 dtd 17 May 2024,12.38,18.07.24,19.07.2024,2024-08-11,14.08.2024,180,16.02.2025,,M/S Harish Bedi,100,7.42,2.43,9.85,79.56,Work Completed Final bill under preparation ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,26.07.2025,Completed 
ENG-1759510506319-447,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation/Up-gradation of MTD Wing at STC BSF Kharkan camp.,Dept,5075-83 dtd 17 may 2024,16.46,20.06.24,02.07.2024,18.07.2024,18.07.2024,120,24.11.2024,,M/S Harish Bedi,100,16.77,1.02,17.79,108.08,Work Completed Final Bill Paid to Firm,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,24.11.2024,Completed 
ENG-1759510506319-448,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation/Up-gradation of Tradesmen shop at STC BSF Kharkan camp,Dept,4885-92 dtd 16 may 2024,13.21,18.07.24,19.07.2024,2024-08-11,14.08.2024,180,16.02.2025,,M/S Harish Bedi,100,6.07,4.03,10.100000000000001,76.46,Work completed  final bill under preparation ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,26.07.2025,Completed 
ENG-1759510506319-449,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC K/CAMP,K/CAMP,Kharkan Camp,Renovation/Up-gradation of Old  So`s Mess at STC BSF Kharkan camp.,Dept,4447-54 dtd 08 may 2024,23.64,14.08.24,10.01.2025,31.12.2024,30.01.2025,180,30.07.2025,,M/S Harish Bedi,100,0,14.32,14.32,60.58,Work completed  final bill under preparation ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,28.07.2025,Completed 
ENG-1759510506319-450,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC U/PUR ,U/PUR,,Renovation/ up-gradation of 120 men barrack HQ Coy at STC BSF Udhampur (Out lived more than 20 years) ,Dept,FHQ(Engg Dte) O/ No. 123 /D-III/OB-RENO /26(428)/2024-Engg/BSF/3389-95 dated 26.04.2024,75.12,20.05.24,03.08.24,10.09.24,14.09.24,09.02.25,,,"M/S Pratap Singh;
A-8/14; 2nd Floor; Sector – 15
Rohini
New Delhi - 110085",100,17.74,46.02,63.760000000000005,84.88,Work completed final bill submitted to PAD,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
ENG-1759510506319-451,REN OF NRB,OB(BS),Umbrella 2021-26,Ren of NRB,STC U/PUR ,U/PUR,,Renovation/ up-gradation of 120 men barrack (Bhanwar Hostel) at STC BSF Udhampur (Out lived more than 20 years) ,Dept,FHQ(Engg Dte) O/ No. 123 /D-III/OB-RENO /26(429)/2024-Engg/BSF/3381-88 dated 26.04.2024,75.12,20.05.24,28.10.24,30.11.24,30.11.24,30.05.25,,,,100,0,81.45,81.45,108.43,Work completed ,2025-10-03T16:55:06.390Z,2025-10-03T16:55:06.390Z,,
